Attacked Unit@aee39bbat position 1552, 411 at time 1607967053425
Got attacked at 1665, 569 by Unit@7fd22736 at time 1607967053429
Got attacked at 1665, 569 by Unit@38ec0804 at time 1607967053497
Got attacked at 1665, 569 by Unit@61cf749d at time 1607967053498
Got attacked at 1665, 569 by Unit@27e8bfab at time 1607967053498
Got attacked at 1665, 569 by Unit@43da1053 at time 1607967053501
Got attacked at 1665, 569 by Unit@13dd7190 at time 1607967053505
Got attacked at 1665, 569 by Unit@28c4d5f3 at time 1607967053506
Got attacked at 1665, 569 by Unit@2012e7bf at time 1607967053506
Got attacked at 1665, 569 by Unit@5c0a5981 at time 1607967053538
Got attacked at 1665, 569 by Unit@17c3616c at time 1607967053539
Got attacked at 1665, 569 by Unit@7c35aaaa at time 1607967053560
Got attacked at 1665, 569 by Unit@965adc7 at time 1607967053579
Got attacked at 1665, 569 by Unit@31864e63 at time 1607967053579
Got attacked at 1665, 569 by Unit@aee39bb at time 1607967053606
Moved to 2495, 901 at time 1607969437984
Moved to 2494, 900 at time 1607969438024
Moved to 2493, 899 at time 1607969438108
Moved to 2492, 898 at time 1607969438143
Moved to 2491, 897 at time 1607969438209
Moved to 2490, 896 at time 1607969438243
Moved to 2489, 895 at time 1607969438288
Moved to 2488, 894 at time 1607969438472
Moved to 2487, 893 at time 1607969438616
Moved to 2486, 892 at time 1607969438713
Moved to 2485, 891 at time 1607969438863
Moved to 2484, 890 at time 1607969438960
Moved to 2483, 889 at time 1607969439085
Moved to 2482, 888 at time 1607969439120
Moved to 2481, 887 at time 1607969439379
Moved to 2480, 886 at time 1607969439581
Moved to 2479, 885 at time 1607969439795
Moved to 2478, 884 at time 1607969439985
Moved to 2477, 883 at time 1607969440168
Moved to 2476, 882 at time 1607969440262
Moved to 2475, 881 at time 1607969440298
Moved to 2474, 880 at time 1607969440358
Moved to 2473, 879 at time 1607969440400
Moved to 2472, 878 at time 1607969440456
Moved to 2471, 877 at time 1607969440517
Moved to 2470, 876 at time 1607969440572
Moved to 2469, 875 at time 1607969440618
Moved to 2468, 874 at time 1607969440652
Moved to 2467, 873 at time 1607969440714
Moved to 2466, 872 at time 1607969440763
Moved to 2465, 871 at time 1607969440811
Moved to 2464, 870 at time 1607969440869
Moved to 2463, 869 at time 1607969440926
Moved to 2462, 868 at time 1607969440991
Moved to 2461, 867 at time 1607969441030
Moved to 2460, 866 at time 1607969441162
Moved to 2459, 865 at time 1607969441279
Moved to 2458, 864 at time 1607969441451
Moved to 2457, 863 at time 1607969441615
Moved to 2456, 862 at time 1607969441654
Moved to 2455, 861 at time 1607969441769
Moved to 2454, 860 at time 1607969441898
Moved to 2453, 859 at time 1607969441979
Moved to 2452, 858 at time 1607969442030
Moved to 2451, 857 at time 1607969442123
Moved to 2450, 856 at time 1607969442319
Moved to 2449, 855 at time 1607969442514
Moved to 2448, 854 at time 1607969442700
Moved to 2447, 853 at time 1607969442888
Moved to 2446, 852 at time 1607969442923
Moved to 2445, 851 at time 1607969443075
Moved to 2444, 850 at time 1607969443120
Moved to 2443, 849 at time 1607969443269
Moved to 2442, 848 at time 1607969443315
Moved to 2441, 847 at time 1607969443463
Moved to 2440, 846 at time 1607969443524
Moved to 2439, 845 at time 1607969443644
Moved to 2438, 844 at time 1607969443689
Moved to 2437, 843 at time 1607969443724
Moved to 2436, 842 at time 1607969443894
Moved to 2435, 841 at time 1607969443962
Moved to 2434, 840 at time 1607969444005
Moved to 2433, 839 at time 1607969444073
Moved to 2432, 838 at time 1607969444122
Moved to 2431, 837 at time 1607969444230
Moved to 2430, 836 at time 1607969444314
Moved to 2429, 835 at time 1607969444483
Moved to 2428, 834 at time 1607969444601
Moved to 2427, 833 at time 1607969444856
Moved to 2426, 832 at time 1607969445041
Moved to 2425, 831 at time 1607969445075
Moved to 2424, 830 at time 1607969445277
Moved to 2423, 829 at time 1607969445513
Moved to 2422, 828 at time 1607969445704
Moved to 2421, 827 at time 1607969445923
Moved to 2420, 826 at time 1607969446120
Moved to 2419, 825 at time 1607969446329
Moved to 2418, 824 at time 1607969446364
Moved to 2417, 823 at time 1607969446500
Moved to 2416, 822 at time 1607969446573
Moved to 2415, 821 at time 1607969446724
Moved to 2414, 820 at time 1607969446785
Moved to 2413, 819 at time 1607969446820
Moved to 2412, 818 at time 1607969447009
Moved to 2411, 817 at time 1607969447146
Moved to 2410, 816 at time 1607969447249
Moved to 2409, 815 at time 1607969447370
Moved to 2408, 814 at time 1607969447434
Moved to 2407, 813 at time 1607969447483
Moved to 2406, 812 at time 1607969447518
Moved to 2405, 811 at time 1607969447570
Moved to 2404, 810 at time 1607969447635
Moved to 2403, 809 at time 1607969447684
Moved to 2402, 808 at time 1607969447760
Moved to 2401, 807 at time 1607969447938
Moved to 2400, 806 at time 1607969448023
Moved to 2399, 805 at time 1607969448073
Moved to 2398, 804 at time 1607969448257
Moved to 2397, 803 at time 1607969448386
Moved to 2396, 802 at time 1607969448467
Moved to 2395, 801 at time 1607969448517
Moved to 2394, 800 at time 1607969448736
Moved to 2393, 799 at time 1607969448930
Moved to 2392, 798 at time 1607969449152
Moved to 2391, 797 at time 1607969449284
Moved to 2390, 796 at time 1607969449391
Moved to 2389, 795 at time 1607969449560
Moved to 2388, 794 at time 1607969449766
Moved to 2387, 793 at time 1607969449957
Moved to 2386, 792 at time 1607969449992
Moved to 2385, 791 at time 1607969450111
Moved to 2384, 790 at time 1607969450335
Moved to 2383, 789 at time 1607969450514
Moved to 2382, 788 at time 1607969450731
Moved to 2381, 787 at time 1607969450922
