Attacked Unit@28c4d5f3at position 1592, 414 at time 1607967053426
Moved to 643, 179 at time 1607969511316
Moved to 642, 178 at time 1607969511413
Moved to 641, 177 at time 1607969511450
Moved to 640, 176 at time 1607969511564
Moved to 639, 177 at time 1607969511700
Moved to 638, 176 at time 1607969511805
Moved to 637, 175 at time 1607969511847
Moved to 636, 174 at time 1607969511933
Moved to 635, 173 at time 1607969511999
Moved to 634, 172 at time 1607969512059
Moved to 633, 173 at time 1607969512129
Moved to 632, 172 at time 1607969512195
Moved to 631, 173 at time 1607969512266
Moved to 630, 174 at time 1607969512328
Moved to 629, 173 at time 1607969512392
Moved to 628, 172 at time 1607969512426
Moved to 627, 171 at time 1607969512485
Moved to 626, 170 at time 1607969512564
Moved to 625, 169 at time 1607969512651
Moved to 624, 168 at time 1607969512692
Moved to 623, 169 at time 1607969512790
Moved to 622, 170 at time 1607969512953
Moved to 621, 169 at time 1607969513074
Moved to 620, 170 at time 1607969513135
Moved to 619, 171 at time 1607969513193
Moved to 618, 170 at time 1607969513228
Moved to 617, 169 at time 1607969513270
Moved to 616, 170 at time 1607969513332
Moved to 615, 171 at time 1607969513405
Moved to 614, 172 at time 1607969513458
Moved to 613, 171 at time 1607969513529
Moved to 612, 172 at time 1607969513582
Moved to 611, 171 at time 1607969513619
Moved to 610, 172 at time 1607969513693
Moved to 609, 173 at time 1607969513742
Moved to 608, 172 at time 1607969513796
Moved to 607, 173 at time 1607969513863
Moved to 606, 172 at time 1607969513915
Moved to 605, 171 at time 1607969513960
Moved to 604, 172 at time 1607969514004
Moved to 603, 173 at time 1607969514051
Moved to 602, 172 at time 1607969514129
Moved to 601, 171 at time 1607969514194
Moved to 600, 172 at time 1607969514273
Moved to 599, 171 at time 1607969514365
Moved to 598, 170 at time 1607969514400
Moved to 597, 169 at time 1607969514434
Moved to 596, 170 at time 1607969514577
Moved to 595, 171 at time 1607969514689
Moved to 594, 170 at time 1607969514829
Moved to 593, 169 at time 1607969514988
Moved to 592, 168 at time 1607969515145
Moved to 591, 169 at time 1607969515247
Moved to 590, 170 at time 1607969515399
Moved to 588, 169 at time 1607969515647
Moved to 587, 168 at time 1607969515684
Moved to 586, 169 at time 1607969515831
Moved to 585, 170 at time 1607969515913
Moved to 584, 171 at time 1607969515951
Moved to 583, 172 at time 1607969515985
Moved to 582, 171 at time 1607969516028
Moved to 581, 172 at time 1607969516063
Moved to 580, 173 at time 1607969516100
Moved to 579, 172 at time 1607969516134
Moved to 578, 171 at time 1607969516183
Moved to 577, 172 at time 1607969516226
Moved to 576, 173 at time 1607969516272
Moved to 575, 174 at time 1607969516319
Moved to 574, 173 at time 1607969516354
Moved to 573, 172 at time 1607969516464
Moved to 572, 171 at time 1607969516498
Moved to 571, 172 at time 1607969516610
Moved to 570, 171 at time 1607969516695
Moved to 569, 172 at time 1607969516809
Moved to 568, 171 at time 1607969516942
Moved to 567, 172 at time 1607969516990
Moved to 566, 173 at time 1607969517028
Moved to 565, 172 at time 1607969517065
Moved to 564, 173 at time 1607969517120
Moved to 563, 174 at time 1607969517166
Moved to 562, 173 at time 1607969517211
Moved to 561, 172 at time 1607969517252
Moved to 560, 171 at time 1607969517307
Moved to 559, 172 at time 1607969517357
Moved to 558, 173 at time 1607969517393
Moved to 557, 172 at time 1607969517427
Moved to 556, 171 at time 1607969517468
Moved to 555, 172 at time 1607969517523
Moved to 554, 173 at time 1607969517562
Moved to 553, 172 at time 1607969517603
Moved to 552, 166 at time 1607969523262
Moved to 551, 166 at time 1607969523396
Moved to 550, 165 at time 1607969523538
Moved to 549, 166 at time 1607969523648
Moved to 548, 165 at time 1607969523690
Moved to 546, 164 at time 1607969523855
Moved to 545, 165 at time 1607969523947
Moved to 544, 166 at time 1607969524105
Moved to 543, 165 at time 1607969524202
Moved to 542, 166 at time 1607969524346
Moved to 541, 165 at time 1607969524440
Moved to 540, 166 at time 1607969524588
Moved to 539, 165 at time 1607969524679
Moved to 538, 171 at time 1607969528198
Moved to 537, 172 at time 1607969528245
Moved to 536, 171 at time 1607969528301
Moved to 535, 172 at time 1607969528360
Moved to 534, 171 at time 1607969528424
Moved to 532, 172 at time 1607969528573
Moved to 531, 173 at time 1607969528701
Moved to 530, 172 at time 1607969528847
Moved to 529, 171 at time 1607969528967
Moved to 528, 172 at time 1607969529087
Moved to 527, 171 at time 1607969529198
Moved to 526, 172 at time 1607969529314
Moved to 525, 173 at time 1607969529435
Attacked Unit@58a465d7at position 256, 174 at time 1607969529538
Got attacked at 525, 173 by Unit@58a465d7 at time 1607969529683
Attacked Unit@58a465d7at position 256, 174 at time 1607969531241
Moved to 524, 174 at time 1607969531276
Moved to 523, 173 at time 1607969531315
Moved to 522, 174 at time 1607969531351
Moved to 521, 173 at time 1607969531391
Moved to 520, 174 at time 1607969531432
Moved to 516, 173 at time 1607969531673
Moved to 514, 174 at time 1607969531742
Moved to 506, 173 at time 1607969532345
Moved to 505, 174 at time 1607969532388
Attacked Unit@4ec0d9d2at position 236, 174 at time 1607969532911
Got attacked at 505, 174 by Unit@4ec0d9d2 at time 1607969534349
Attacked Unit@4ec0d9d2at position 236, 174 at time 1607969534641
Attacked Unit@4ec0d9d2at position 236, 174 at time 1607969536318
Moved to 499, 173 at time 1607969537180
Moved to 498, 174 at time 1607969537226
Moved to 497, 173 at time 1607969537283
Moved to 496, 174 at time 1607969537317
Moved to 495, 173 at time 1607969537403
Moved to 492, 174 at time 1607969537568
Moved to 491, 173 at time 1607969537607
Moved to 490, 172 at time 1607969537671
Moved to 489, 171 at time 1607969537717
Moved to 488, 170 at time 1607969537769
Moved to 487, 169 at time 1607969537814
Moved to 486, 168 at time 1607969537876
Moved to 485, 167 at time 1607969537920
Moved to 484, 166 at time 1607969537959
Moved to 483, 165 at time 1607969538010
Moved to 481, 164 at time 1607969538108
Moved to 480, 163 at time 1607969538143
Moved to 479, 162 at time 1607969538207
Moved to 478, 161 at time 1607969538244
Moved to 477, 160 at time 1607969538320
Moved to 476, 159 at time 1607969538392
Moved to 475, 158 at time 1607969538470
Moved to 474, 157 at time 1607969538543
Moved to 473, 156 at time 1607969538622
Moved to 472, 155 at time 1607969538659
Moved to 471, 154 at time 1607969538742
Moved to 470, 153 at time 1607969538782
Moved to 469, 152 at time 1607969538817
Moved to 467, 151 at time 1607969538897
Moved to 465, 150 at time 1607969539045
Moved to 464, 149 at time 1607969539082
Moved to 463, 148 at time 1607969539226
Moved to 462, 147 at time 1607969539287
Moved to 461, 146 at time 1607969539336
Moved to 459, 145 at time 1607969539478
Moved to 458, 144 at time 1607969539592
Moved to 457, 143 at time 1607969539663
Moved to 456, 142 at time 1607969539704
Moved to 455, 141 at time 1607969539742
Moved to 454, 140 at time 1607969539785
Moved to 453, 139 at time 1607969539823
Moved to 452, 138 at time 1607969539867
Moved to 451, 137 at time 1607969539904
Moved to 450, 136 at time 1607969539941
Moved to 449, 135 at time 1607969539976
Moved to 448, 134 at time 1607969540011
Moved to 447, 133 at time 1607969540053
Moved to 446, 132 at time 1607969540089
Moved to 445, 131 at time 1607969540127
Moved to 444, 130 at time 1607969540162
Moved to 443, 129 at time 1607969540207
Moved to 442, 128 at time 1607969540245
Moved to 441, 127 at time 1607969540293
Moved to 440, 126 at time 1607969540353
Moved to 438, 125 at time 1607969540456
Moved to 437, 124 at time 1607969540491
Moved to 435, 123 at time 1607969540669
Moved to 434, 122 at time 1607969540746
Moved to 433, 121 at time 1607969540884
Moved to 432, 120 at time 1607969540965
Attacked Unit@4289c7f4at position 100, 100 at time 1607969543166
Attacked Unit@4289c7f4at position 100, 100 at time 1607969544864
Attacked Unit@4289c7f4at position 100, 100 at time 1607969546541
Attacked Unit@4289c7f4at position 100, 100 at time 1607969548226
Attacked Unit@4289c7f4at position 100, 100 at time 1607969549914
Moved to 400, 140 at time 1607969551600
Moved to 400, 141 at time 1607969551695
Moved to 399, 140 at time 1607969551816
Moved to 400, 141 at time 1607969551876
Moved to 399, 140 at time 1607969551924
Moved to 400, 141 at time 1607969551999
Moved to 399, 140 at time 1607969551999
Moved to 400, 141 at time 1607969552055
Moved to 401, 142 at time 1607969552091
Moved to 402, 143 at time 1607969552191
Moved to 401, 142 at time 1607969552213
Moved to 402, 143 at time 1607969552326
Moved to 403, 144 at time 1607969552328
