Attacked Unit@27e8bfabat position 1555, 489 at time 1607967053571
Moved to 2424, 718 at time 1607969452054
Moved to 2423, 717 at time 1607969452287
Moved to 2422, 716 at time 1607969452528
Moved to 2421, 715 at time 1607969452704
Moved to 2420, 714 at time 1607969452806
Moved to 2419, 713 at time 1607969452901
Moved to 2418, 712 at time 1607969453023
Moved to 2417, 711 at time 1607969453198
Moved to 2416, 710 at time 1607969453455
Moved to 2415, 709 at time 1607969453523
Moved to 2414, 708 at time 1607969453592
Moved to 2413, 707 at time 1607969453678
Moved to 2412, 706 at time 1607969453725
Moved to 2411, 705 at time 1607969453804
Moved to 2410, 704 at time 1607969453875
Moved to 2409, 703 at time 1607969453927
Moved to 2408, 702 at time 1607969453970
Moved to 2407, 701 at time 1607969454004
Moved to 2406, 700 at time 1607969454057
Moved to 2405, 699 at time 1607969454123
Moved to 2404, 698 at time 1607969454174
Moved to 2403, 697 at time 1607969454243
Moved to 2402, 696 at time 1607969454315
Moved to 2401, 695 at time 1607969454360
Moved to 2400, 694 at time 1607969454396
Moved to 2399, 693 at time 1607969454443
Moved to 2398, 692 at time 1607969454487
Moved to 2397, 691 at time 1607969454536
Moved to 2396, 690 at time 1607969454591
Moved to 2395, 689 at time 1607969454658
Moved to 2394, 688 at time 1607969454718
Moved to 2393, 687 at time 1607969454756
Moved to 2392, 686 at time 1607969454801
Moved to 2391, 685 at time 1607969454837
Moved to 2390, 684 at time 1607969454926
Moved to 2389, 683 at time 1607969455000
Moved to 2388, 682 at time 1607969455086
Moved to 2387, 681 at time 1607969455172
Moved to 2386, 680 at time 1607969455242
Moved to 2385, 679 at time 1607969455345
Moved to 2384, 678 at time 1607969455379
Moved to 2383, 677 at time 1607969455518
Moved to 2382, 676 at time 1607969455562
Moved to 2381, 675 at time 1607969455618
Moved to 2380, 674 at time 1607969455805
Moved to 2379, 673 at time 1607969455958
Moved to 2378, 672 at time 1607969456006
Moved to 2377, 671 at time 1607969456157
Moved to 2376, 670 at time 1607969456222
Moved to 2375, 669 at time 1607969456465
Moved to 2374, 668 at time 1607969456545
Moved to 2373, 667 at time 1607969456682
Moved to 2372, 666 at time 1607969456760
Moved to 2371, 665 at time 1607969456815
Moved to 2370, 664 at time 1607969456877
Moved to 2369, 663 at time 1607969456937
Moved to 2368, 662 at time 1607969457007
Moved to 2367, 661 at time 1607969457058
Moved to 2366, 660 at time 1607969457126
Moved to 2365, 659 at time 1607969457321
Moved to 2364, 658 at time 1607969457506
Moved to 2363, 657 at time 1607969457703
Moved to 2362, 656 at time 1607969457847
Moved to 2361, 655 at time 1607969458009
Moved to 2360, 654 at time 1607969458241
Moved to 2359, 653 at time 1607969458404
Moved to 2358, 652 at time 1607969458609
Moved to 2357, 651 at time 1607969458777
Moved to 2356, 650 at time 1607969458900
Moved to 2355, 649 at time 1607969458972
Moved to 2354, 648 at time 1607969459134
Moved to 2353, 647 at time 1607969459312
Moved to 2352, 646 at time 1607969459525
Moved to 2351, 645 at time 1607969459639
Moved to 2350, 644 at time 1607969459692
Moved to 2349, 643 at time 1607969459810
Moved to 2348, 642 at time 1607969459877
Moved to 2347, 641 at time 1607969459911
Moved to 2346, 640 at time 1607969460108
Moved to 2345, 639 at time 1607969460170
Moved to 2344, 638 at time 1607969460277
Moved to 2343, 637 at time 1607969460490
Moved to 2342, 636 at time 1607969460539
Moved to 2341, 635 at time 1607969460718
Moved to 2340, 634 at time 1607969460885
Moved to 2339, 633 at time 1607969461072
Moved to 2338, 632 at time 1607969461239
Moved to 2337, 631 at time 1607969461443
Moved to 2336, 630 at time 1607969461554
Moved to 2335, 629 at time 1607969461589
Moved to 2334, 628 at time 1607969461766
Moved to 2333, 627 at time 1607969461955
Moved to 2332, 626 at time 1607969462060
Moved to 2331, 625 at time 1607969462130
Moved to 2330, 624 at time 1607969462197
Moved to 2329, 623 at time 1607969462257
Moved to 2328, 622 at time 1607969462327
Moved to 2327, 621 at time 1607969462412
Moved to 2326, 620 at time 1607969462446
Moved to 2325, 619 at time 1607969462559
Moved to 2324, 618 at time 1607969462786
Moved to 2323, 617 at time 1607969462946
Moved to 2322, 616 at time 1607969463142
Moved to 2321, 615 at time 1607969463357
Moved to 2320, 614 at time 1607969463465
Moved to 2319, 613 at time 1607969463499
Moved to 2318, 612 at time 1607969463680
Moved to 2317, 611 at time 1607969463891
Moved to 2316, 610 at time 1607969464073
Moved to 2315, 609 at time 1607969464248
Moved to 2314, 608 at time 1607969464446
Moved to 2313, 607 at time 1607969464630
Moved to 2312, 606 at time 1607969464808
Moved to 2311, 605 at time 1607969464939
Moved to 2310, 604 at time 1607969464975
Moved to 2309, 603 at time 1607969465016
Moved to 2308, 602 at time 1607969465073
Moved to 2307, 601 at time 1607969465114
Moved to 2306, 600 at time 1607969465148
Moved to 2305, 599 at time 1607969465194
Moved to 2304, 598 at time 1607969465236
Moved to 2303, 597 at time 1607969465292
Moved to 2302, 596 at time 1607969465330
Moved to 2301, 595 at time 1607969465376
