Attacked Unit@7fd22736at position 1521, 405 at time 1607967053445
Moved to 2521, 784 at time 1607969449772
Moved to 2520, 783 at time 1607969449947
Moved to 2519, 782 at time 1607969449992
Moved to 2518, 781 at time 1607969450111
Moved to 2517, 780 at time 1607969450157
Moved to 2516, 779 at time 1607969450307
Moved to 2515, 778 at time 1607969450548
Moved to 2514, 777 at time 1607969450778
Moved to 2513, 776 at time 1607969450870
Moved to 2512, 775 at time 1607969450999
Moved to 2511, 774 at time 1607969451042
Moved to 2510, 773 at time 1607969451116
Moved to 2509, 772 at time 1607969451157
Moved to 2508, 771 at time 1607969451222
Moved to 2507, 770 at time 1607969451272
Moved to 2506, 769 at time 1607969451318
Moved to 2505, 768 at time 1607969451448
Moved to 2504, 767 at time 1607969451591
Moved to 2503, 766 at time 1607969451635
Moved to 2502, 765 at time 1607969451777
Moved to 2501, 764 at time 1607969451982
Moved to 2500, 763 at time 1607969452181
Moved to 2499, 762 at time 1607969452267
Moved to 2498, 761 at time 1607969452386
Moved to 2497, 760 at time 1607969452473
Moved to 2496, 759 at time 1607969452595
Moved to 2495, 758 at time 1607969452761
Moved to 2494, 757 at time 1607969452841
Moved to 2493, 756 at time 1607969452972
Moved to 2492, 755 at time 1607969453082
Moved to 2491, 754 at time 1607969453137
Moved to 2490, 753 at time 1607969453277
Moved to 2489, 752 at time 1607969453345
Moved to 2488, 751 at time 1607969453489
Moved to 2487, 750 at time 1607969453543
Moved to 2486, 749 at time 1607969453611
Moved to 2485, 748 at time 1607969453645
Moved to 2484, 747 at time 1607969453742
Moved to 2483, 746 at time 1607969453787
Moved to 2482, 745 at time 1607969453850
Moved to 2481, 744 at time 1607969453906
Moved to 2480, 743 at time 1607969453945
Moved to 2479, 742 at time 1607969453987
Moved to 2478, 741 at time 1607969454025
Moved to 2477, 740 at time 1607969454087
Moved to 2476, 739 at time 1607969454125
Moved to 2475, 738 at time 1607969454174
Moved to 2474, 737 at time 1607969454243
Moved to 2473, 736 at time 1607969454311
Moved to 2472, 735 at time 1607969454360
Moved to 2471, 734 at time 1607969454423
Moved to 2470, 733 at time 1607969454475
Moved to 2469, 732 at time 1607969454519
Moved to 2468, 731 at time 1607969454558
Moved to 2467, 730 at time 1607969454621
Moved to 2466, 729 at time 1607969454672
Moved to 2465, 728 at time 1607969454707
Moved to 2464, 727 at time 1607969454764
Moved to 2463, 726 at time 1607969454853
Moved to 2462, 725 at time 1607969454903
Moved to 2461, 724 at time 1607969455107
Moved to 2460, 723 at time 1607969455299
Moved to 2459, 722 at time 1607969455456
Moved to 2458, 721 at time 1607969455546
