Attacked Unit@55d611daat position 821, 638 at time 1607968586271
Moved to 527, 1025 at time 1607968878163
Moved to 526, 1024 at time 1607968878198
Moved to 527, 1023 at time 1607968878249
Moved to 526, 1022 at time 1607968878288
Moved to 527, 1021 at time 1607968878330
Moved to 528, 1020 at time 1607968878376
Moved to 527, 1019 at time 1607968878422
Moved to 526, 1018 at time 1607968878462
Moved to 525, 1019 at time 1607968878499
Moved to 524, 1018 at time 1607968878534
Moved to 523, 1019 at time 1607968878569
Moved to 522, 1018 at time 1607968878607
Moved to 521, 1019 at time 1607968878660
Moved to 520, 1018 at time 1607968878713
Moved to 519, 1019 at time 1607968878749
Moved to 518, 1020 at time 1607968878783
Moved to 517, 1019 at time 1607968878817
Moved to 516, 1018 at time 1607968878853
Moved to 517, 1017 at time 1607968878888
Moved to 518, 1016 at time 1607968878922
Moved to 519, 1015 at time 1607968878957
Moved to 518, 1016 at time 1607968879025
Moved to 517, 1015 at time 1607968879059
Moved to 516, 1014 at time 1607968879098
Moved to 515, 1013 at time 1607968879134
Moved to 514, 1014 at time 1607968879168
Moved to 513, 1013 at time 1607968879203
Moved to 512, 1012 at time 1607968879238
Moved to 511, 1011 at time 1607968879274
Moved to 510, 1010 at time 1607968879309
Moved to 509, 1009 at time 1607968879343
Moved to 508, 1010 at time 1607968879379
Moved to 507, 1011 at time 1607968879413
Moved to 506, 1010 at time 1607968879449
Moved to 505, 1009 at time 1607968879483
Moved to 504, 1008 at time 1607968879518
Moved to 503, 1009 at time 1607968879555
Moved to 504, 1008 at time 1607968879589
Moved to 503, 1007 at time 1607968879623
Moved to 502, 1006 at time 1607968879658
Moved to 501, 1007 at time 1607968879693
Moved to 500, 1006 at time 1607968879728
Moved to 499, 1005 at time 1607968879763
Moved to 498, 1004 at time 1607968879799
Moved to 497, 1003 at time 1607968879834
Moved to 498, 1004 at time 1607968879870
Moved to 497, 1005 at time 1607968879906
Moved to 496, 1006 at time 1607968879943
Moved to 495, 1005 at time 1607968879980
Moved to 496, 1004 at time 1607968880047
Moved to 495, 1003 at time 1607968880171
Moved to 494, 1002 at time 1607968880208
Moved to 493, 1001 at time 1607968880243
Moved to 492, 1000 at time 1607968880277
Moved to 491, 999 at time 1607968880311
Moved to 490, 1000 at time 1607968880348
Moved to 489, 998 at time 1607968880450
Moved to 488, 999 at time 1607968880484
Moved to 487, 998 at time 1607968880586
Moved to 486, 997 at time 1607968880620
Moved to 485, 998 at time 1607968880656
Moved to 484, 997 at time 1607968880690
Moved to 483, 996 at time 1607968880724
Moved to 482, 995 at time 1607968880758
Moved to 481, 996 at time 1607968880792
Moved to 480, 995 at time 1607968880826
Moved to 479, 993 at time 1607968880896
Moved to 478, 992 at time 1607968880932
Moved to 477, 991 at time 1607968880967
Moved to 476, 992 at time 1607968881002
